{175}baicha 白茶
{213}bailinggu 白灵菇
{182}baojiancha 保健茶
{150}beilei 贝类
{146}bielei 鳖类
{196}boluo 菠萝
{241}caiziyou 菜籽油
{120}canjian 蚕茧
{119}cansi 蚕丝
{215}caogu 草菇
{203}caomei 草莓
{109}caoping 草坪
{183}chaye 茶叶
{27}changshangzuoyejixie 场上作业机械
{128}changyi 肠衣
{85}changyi 长椅
{68}chucaoji 除草剂
{61}chucaojihunji 除草剂混剂
{48}chuyongyao 畜用药
{145}cujiagongshuichanpin 粗加工水产品
{258}dami 大米
{43}dapeng 大棚
{52}danfei 氮肥
{126}danzhipin 蛋制品
{267}daogu 稻谷
{125}dianfen 淀粉
{86}diaosu 雕塑
{157}dongwumaozong 动物毛鬃
{13}dongwutiquwu 动物提取物
{76}dongwuxingsiliao 动物性饲料
{239}dongwuyou 动物油
{11}dongwuyuanyaocai 动物原药材
{82}dongwuzhongmiao 动物种苗
{233}doujialei 豆荚类
{261}doulei 豆类
{242}douyou 豆油
{130}erou 鹅肉
{15}ershounongyejixie 二手农业机械
{42}fangchongwang 防虫网
{21}feiliaojiagongshebei 肥料加工设备
{255}fenpi 粉皮
{256}fensi 粉丝
{51}fuhefeiliao 复合肥料
{6}gancao 干草
{191}ganguo 干果
{199}ganju 柑桔
{143}ganzhishuichanpin 干制水产品
{265}gaoliang 高粱
{230}gencailei 根菜类
{38}gongnongyeyongsuliaozhipin 工农业用塑料制品
{10}gongyeyongdongzhiwuyou 工业用动植物油
{137}gourou 狗肉
{232}guaguolei 瓜果类
{194}gualei 瓜类
{95}guangaigongju 灌溉工具
{114}guanmu 灌木
{195}guiyuan 桂圆
{251}guoren 果仁
{108}guoshu 果树
{252}hanyouziren 含油子仁
{176}heicha 黑茶
{180}hongcha 红茶
{220}houtougu 猴头菇
{159}hulipi 狐狸皮
{235}huacailei 花菜类
{104}huacaopenjing 花草盆景
{179}huacha 花茶
{56}huafei 化肥
{106}huahui 花卉
{98}huahuizhongzi 花卉种子
{91}huajia 花架
{93}huapenrongqi 花盆容器
{250}huasheng 花生
{243}huashengyou 花生油
{174}huangcha 黄茶
{217}huishuhua 灰树花
{132}jirou 鸡肉
{214}jisongrong 姬松茸
{216}jituigu 鸡腿菇
{54}jiafei 钾肥
{192}jianguo 坚果
{206}jiangyancai 酱腌菜
{221}jinzhengu 金针菇
{173}kafeidou 咖啡豆
{172}keke 可可
{2}kucunnongchanpin 库存农产品
{231}kuaijinglei 块茎类
{225}lajiao 辣椒
{144}lengdongcujiagongshuichanpin 冷冻粗加工水产品
{207}lengdongshucai 冷冻蔬菜
{201}lizhi 荔枝
{268}liangshi 粮食
{33}liangshijiagongshebei 粮食加工设备
{55}linfei 磷肥
{17}linyejixie 林业机械
{135}lurou 鹿肉
{181}lvcha 绿茶
{117}lvhuamiaomu 绿化苗木
{136}lvrou 驴肉
{121}malei 麻类
{266}mailei 麦类
{164}maopi 毛皮
{257}mifen 米粉
{260}mimianlei 米面类
{123}mizhipin 蜜制品
{259}mianfen 面粉
{122}mianlei 棉类
{16}mianmamaochujiagongshebei 棉麻毛初加工设备
{253}miantiao 面条
{212}mogu 蘑菇
{211}muer 木耳
{5}mutan 木炭
{163}niupi 牛皮
{134}niurou 牛肉
{3}nongchanpindaili 农产品代理
{4}nongfuchanpinjiagong 农副产品加工
{23}nongjipeijian 农机配件
{1}nonglinmuyuxiangmuhezuo 农林牧渔项目合作
{69}nongyaoyuanyao 农药原药
{62}nongyaozhiji 农药制剂
{37}nongyejixie 农业机械
{24}nongyeshiyanshebei 农业实验设备
{47}nongyeyongju 农业用具
{39}nongyeyongxiangjiaozhipin 农业用橡胶制品
{46}nongyonggongju 农用工具
{84}nongyongwuzi 农用物资
{81}nongzuowuzhongzi 农作物种子
{29}paiguanjixie 排灌机械
{111}panyuanzhiwu 攀援植物
{193}pipa 枇杷
{219}pinggu 平菇
{200}pingguo 苹果
{198}putao 葡萄
{178}qitachaye 其他茶叶
{141}qitacujiagongshuichanpin 其他粗加工水产品
{245}qitahanyouziren 其他含油子仁
{53}qitahuafei 其他化肥
{99}qitahuahui 其他花卉
{184}qitajianguo 其他坚果
{263}qitaliangshi 其他粮食
{107}qitalvhuamiaomu 其他绿化苗木
{254}qitamimianlei 其他米面类
{65}qitanongyaoyuanyao 其他农药原药
{57}qitanongyaozhiji 其他农药制剂
{22}qitanongyejixie 其他农业机械
{41}qitanongyeyongju 其他农业用具
{167}qitaqinlei 其他禽类
{138}qitaroulei 其他肉类
{170}qitashengchu 其他牲畜
{158}qitashengpi 其他生皮
{202}qitashengxianshuiguo 其他生鲜水果
{210}qitashiyongjun 其他食用菌
{238}qitashiyongyou 其他食用油
{205}qitashucaizhipin 其他蔬菜制品
{75}qitasiliao 其他饲料
{70}qitasiliaotianjiaji 其他饲料添加剂
{148}qitaxianhuoshuichanpin 其他鲜活水产品
{224}qitaxinlashucai 其他辛辣蔬菜
{227}qitaxinxianshucai 其他新鲜蔬菜
{89}qitayuanyiyongju 其他园艺用具
{80}qitazhongzi 其他种子
{115}qiaomu 乔木
{127}qindan 禽蛋
{169}qinlei 禽类
{177}qingcha 青茶
{112}qiuleizhiwu 球类植物
{168}rouge 肉鸽
{140}roulei 肉类
{59}shachong 杀虫
{66}shachongji 杀虫剂
{67}shajunji 杀菌剂
{60}shajunjihunji 杀菌剂混剂
{58}shamanhunji 杀螨混剂
{64}shamanji 杀螨剂
{63}shashuji 杀鼠剂
{189}shengbaiguo 生白果
{188}shengbanli 生板栗
{171}shengchu 牲畜
{186}shengguazi 生瓜子
{190}shenghetao 生核桃
{187}shengkaixinguo 生开心果
{165}shengpi 生皮
{50}shengwufeiliao 生物肥料
{204}shengxianshuiguo 生鲜水果
{185}shengzhenzi 生榛子
{25}shifeijixie 施肥机械
{100}shineiguanguozhiwu 室内观果植物
{101}shineiguanhuazhiwu 室内观花植物
{102}shineiguanyezhiwu 室内观叶植物
{223}shiyongjun 食用菌
{79}shiyongjunjunzhong 食用菌菌种
{244}shiyongyou 食用油
{36}shiyongyoujiagongshebei 食用油加工设备
{28}shouhuojixie 收获机械
{209}shucaizhipin 蔬菜制品
{264}shulei 薯类
{116}shumupenjing 树木盆景
{154}shuichanpin 水产品
{229}shuishengcailei 水生菜类
{78}siliao 饲料
{71}siliaobaocangji 饲料保藏剂
{34}siliaojiagongshebei 饲料加工设备
{74}siliaotianjiaji 饲料添加剂
{248}songzi 松子
{45}suliaobaomo 塑料薄膜
{166}tezhongyangzhidongwu 特种养殖动物
{7}tengwei 藤苇
{240}tiaoheyou 调和油
{88}tingyuandeng 庭院灯
{160}tupi 兔皮
{32}turanggengzhengjixie 土壤耕整机械
{129}turou 兔肉
{35}tuzaijirouleichujiagongshebei 屠宰及肉类初加工设备
{26}tuolaji 拖拉机
{208}tuoshuishucai 脱水蔬菜
{44}wenshi 温室
{151}xialei 虾类
{105}xianhua 鲜花
{153}xianhuoshuichanpin 鲜活水产品
{222}xianggu 香菇
{197}xiangjiao 香蕉
{147}xielei 蟹类
{226}xinlashucai 辛辣蔬菜
{237}xinxianshucai 新鲜蔬菜
{246}xingren 杏仁
{20}xumu 畜牧
{131}yarou 鸭肉
{124}yancao 烟草
{142}yanzhishuichanpin 腌制水产品
{162}yangpi 羊皮
{133}yangrou 羊肉
{19}yangzhiyejixie 养殖业机械
{72}yaowuxingtianjiaji 药物性添加剂
{234}yecailei 叶菜类
{228}yeshengcailei 野生菜类
{103}yiernianshengcaohua 一二年生草花
{73}yingyangxingtianjiaji 营养性添加剂
{247}youcaizi 油菜籽
{152}yulei 鱼类
{156}yumao 羽毛
{262}yumi 玉米
{155}yurong 羽绒
{18}yuyejixie 渔业机械
{40}yuyeyongju 渔业用具
{87}yuanlinshigongyipin 园林石工艺品
{9}yuanmu 原木
{118}yuanyi 园艺
{90}yuanyihulan 园艺护栏
{94}yuanyijian 园艺剪
{96}yuanyiyongju 园艺用具
{92}zaipeijizhi 栽培基质
{149}zaolei 藻类
{30}zhibaojixie 植保机械
{249}zhima 芝麻
{49}zhiwushengzhangtiaojieji 植物生长调节剂
{14}zhiwutiquwu 植物提取物
{77}zhiwuxingsiliao 植物性饲料
{12}zhiwuyuanyaocai 植物原药材
{97}zhongmiao 种苗
{31}zhongzhijixie 种植机械
{83}zhongzi 种子
{113}zhuleizhiwu 竹类植物
{8}zhumu 竹木
{161}zhupi 猪皮
{139}zhurou 猪肉
{218}zhusun 竹荪
{236}zhusunlei 竹笋类
{110}zonglvleizhiwu 棕榈类植物
